# Sectioned map data CSV for New York.
# Each section starts with its own header row.

[MAP]
section,map_type,display_name,background_image_path,destination_ticket_back_image_path
MAP,NEW_YORK,New York,/gamemap/newYorkMapBg.png,/DestinationTicket_London/DestinationCard.jpeg

[CITY]
section,map_type,city_id,city_name,x,y
CITY,NEW_YORK,LINCOLN_CENTER,Lincoln Center,1206,127
CITY,NEW_YORK,CENTRAL_PARK,Central Park,1278,440
CITY,NEW_YORK,UNITED_NATIONS,United Nations,1084,650
CITY,NEW_YORK,MIDTOWN_WEST,Midtown West,1015,125
CITY,NEW_YORK,TIMES_SQUARE,Times Square,1008,350
CITY,NEW_YORK,EMPIRE_STATE_BUILDING,Empire State Building,866,333
CITY,NEW_YORK,GRAMERCY_PARK,Gramercy Park,737,550
CITY,NEW_YORK,CHELSEA,Chelsea,710,170
CITY,NEW_YORK,GREENWICH_VILLAGE,Greenwich Village,525,382
CITY,NEW_YORK,EAST_VILLAGE,East Village,537,644
CITY,NEW_YORK,LOWER_EAST_SIDE,Lower East Side,390,629
CITY,NEW_YORK,SOHO,Soho,323,265
CITY,NEW_YORK,CHINATOWN,Chinatown,330,454
CITY,NEW_YORK,WALL_STREET,Wall Street,200,370
CITY,NEW_YORK,BROOKLYN,Brooklyn,142,728

[ROUTE]
section,map_type,route_id,city_a_id,city_b_id,length,color,claimable_type,locomotive_count
ROUTE,NEW_YORK,NY01,LINCOLN_CENTER,CENTRAL_PARK,3,ORANGE,ROUTE,0
ROUTE,NEW_YORK,NY02,LINCOLN_CENTER,MIDTOWN_WEST,2,RED,ROUTE,0
ROUTE,NEW_YORK,NY03,LINCOLN_CENTER,TIMES_SQUARE,3,BLUE,ROUTE,0
ROUTE,NEW_YORK,NY04,LINCOLN_CENTER,TIMES_SQUARE,3,GREEN,ROUTE,0
ROUTE,NEW_YORK,NY05,CENTRAL_PARK,TIMES_SQUARE,2,RED,ROUTE,0
ROUTE,NEW_YORK,NY06,CENTRAL_PARK,UNITED_NATIONS,4,PURPLE,ROUTE,0
ROUTE,NEW_YORK,NY07,TIMES_SQUARE,UNITED_NATIONS,2,GRAY,ROUTE,0
ROUTE,NEW_YORK,NY08,UNITED_NATIONS,GRAMERCY_PARK,3,GREEN,ROUTE,0
ROUTE,NEW_YORK,NY09,MIDTOWN_WEST,TIMES_SQUARE,2,GREEN,ROUTE,0
ROUTE,NEW_YORK,NY10,MIDTOWN_WEST,CHELSEA,2,BLUE,ROUTE,0
ROUTE,NEW_YORK,NY11,MIDTOWN_WEST,EMPIRE_STATE_BUILDING,3,GRAY,ROUTE,0
ROUTE,NEW_YORK,NY12,TIMES_SQUARE,EMPIRE_STATE_BUILDING,1,YELLOW,ROUTE,0
ROUTE,NEW_YORK,NY13,TIMES_SQUARE,EMPIRE_STATE_BUILDING,1,PURPLE,ROUTE,0
ROUTE,NEW_YORK,NY14,TIMES_SQUARE,GRAMERCY_PARK,3,BLACK,ROUTE,0
ROUTE,NEW_YORK,NY15,EMPIRE_STATE_BUILDING,GRAMERCY_PARK,2,RED,ROUTE,0
ROUTE,NEW_YORK,NY16,EMPIRE_STATE_BUILDING,GRAMERCY_PARK,2,BLUE,ROUTE,0
ROUTE,NEW_YORK,NY17,CHELSEA,EMPIRE_STATE_BUILDING,3,ORANGE,ROUTE,0
ROUTE,NEW_YORK,NY18,CHELSEA,GREENWICH_VILLAGE,4,GREEN,ROUTE,0
ROUTE,NEW_YORK,NY19,CHELSEA,GREENWICH_VILLAGE,4,RED,ROUTE,0
ROUTE,NEW_YORK,NY20,CHELSEA,SOHO,4,PURPLE,ROUTE,0
ROUTE,NEW_YORK,NY21,EMPIRE_STATE_BUILDING,GREENWICH_VILLAGE,3,GRAY,ROUTE,0
ROUTE,NEW_YORK,NY22,GRAMERCY_PARK,GREENWICH_VILLAGE,2,BLACK,ROUTE,0
ROUTE,NEW_YORK,NY23,GRAMERCY_PARK,GREENWICH_VILLAGE,2,PURPLE,ROUTE,0
ROUTE,NEW_YORK,NY24,GRAMERCY_PARK,EAST_VILLAGE,3,GRAY,ROUTE,0
ROUTE,NEW_YORK,NY25,GREENWICH_VILLAGE,EAST_VILLAGE,4,BLUE,ROUTE,0
ROUTE,NEW_YORK,NY26,GREENWICH_VILLAGE,SOHO,2,ORANGE,ROUTE,0
ROUTE,NEW_YORK,NY27,EAST_VILLAGE,LOWER_EAST_SIDE,2,BLACK,ROUTE,0
ROUTE,NEW_YORK,NY28,SOHO,CHINATOWN,2,GREEN,ROUTE,0
ROUTE,NEW_YORK,NY29,SOHO,CHINATOWN,2,PURPLE,ROUTE,0
ROUTE,NEW_YORK,NY30,CHINATOWN,WALL_STREET,2,GRAY,ROUTE,0
ROUTE,NEW_YORK,NY31,SOHO,WALL_STREET,3,ORANGE,ROUTE,0
ROUTE,NEW_YORK,NY32,LOWER_EAST_SIDE,BROOKLYN,3,GRAY,FERRY,2
ROUTE,NEW_YORK,NY33,CHINATOWN,BROOKLYN,4,RED,FERRY,1
ROUTE,NEW_YORK,NY34,CHINATOWN,BROOKLYN,4,ORANGE,ROUTE,0
ROUTE,NEW_YORK,NY35,WALL_STREET,BROOKLYN,3,BLUE,FERRY,1
ROUTE,NEW_YORK,NY36,WALL_STREET,BROOKLYN,3,BLACK,ROUTE,0

[TICKET]
section,map_type,ticket_id,city_a_id,city_b_id,points,image_path
TICKET,NEW_YORK,NYDT01,TIMES_SQUARE,BROOKLYN,8,/DestinationTicket_NewYork/NY_DT_1.png
TICKET,NEW_YORK,NYDT02,TIMES_SQUARE,SOHO,6,/DestinationTicket_NewYork/NY_DT_2.png
TICKET,NEW_YORK,NYDT03,TIMES_SQUARE,EAST_VILLAGE,4,/DestinationTicket_NewYork/NY_DT_3.png
TICKET,NEW_YORK,NYDT04,LOWER_EAST_SIDE,WALL_STREET,2,/DestinationTicket_NewYork/NY_DT_4.png
TICKET,NEW_YORK,NYDT05,CHELSEA,WALL_STREET,6,/DestinationTicket_NewYork/NY_DT_5.png
TICKET,NEW_YORK,NYDT06,UNITED_NATIONS,WALL_STREET,8,/DestinationTicket_NewYork/NY_DT_6.png
TICKET,NEW_YORK,NYDT07,CENTRAL_PARK,MIDTOWN_WEST,3,/DestinationTicket_NewYork/NY_DT_7.png
TICKET,NEW_YORK,NYDT08,CENTRAL_PARK,GRAMERCY_PARK,4,/DestinationTicket_NewYork/NY_DT_8.png
TICKET,NEW_YORK,NYDT09,CENTRAL_PARK,CHINATOWN,8,/DestinationTicket_NewYork/NY_DT_9.png
TICKET,NEW_YORK,NYDT10,CENTRAL_PARK,CHELSEA,5,/DestinationTicket_NewYork/NY_DT_10.png
TICKET,NEW_YORK,NYDT11,LINCOLN_CENTER,EMPIRE_STATE_BUILDING,3,/DestinationTicket_NewYork/NY_DT_11.png
TICKET,NEW_YORK,NYDT12,EMPIRE_STATE_BUILDING,GREENWICH_VILLAGE,3,/DestinationTicket_NewYork/NY_DT_12.png
TICKET,NEW_YORK,NYDT13,EMPIRE_STATE_BUILDING,BROOKLYN,7,/DestinationTicket_NewYork/NY_DT_13.png
TICKET,NEW_YORK,NYDT14,CHELSEA,BROOKLYN,8,/DestinationTicket_NewYork/NY_DT_14.png
TICKET,NEW_YORK,NYDT15,UNITED_NATIONS,MIDTOWN_WEST,3,/DestinationTicket_NewYork/NY_DT_15.png
TICKET,NEW_YORK,NYDT16,GRAMERCY_PARK,CHINATOWN,4,/DestinationTicket_NewYork/NY_DT_16.png
TICKET,NEW_YORK,NYDT17,EAST_VILLAGE,SOHO,4,/DestinationTicket_NewYork/NY_DT_17.png
TICKET,NEW_YORK,NYDT18,LINCOLN_CENTER,GREENWICH_VILLAGE,6,/DestinationTicket_NewYork/NY_DT_18.png
